Label,Probabilities
1,[ 0.47904393  0.52095604]
1,[ 0.48376599  0.51623398]
1,[ 0.49087697  0.50912303]
1,[ 0.49861935  0.50138062]
1,[ 0.48332077  0.51667923]
1,[ 0.49485323  0.50514674]
1,[ 0.48365897  0.51634097]
1,[ 0.48915666  0.51084334]
1,[ 0.47715482  0.52284521]
1,[ 0.48256576  0.51743424]
1,[ 0.48423231  0.51576769]
0,[ 0.51454735  0.48545268]
1,[ 0.49477687  0.50522316]
0,[ 0.51630187  0.48369816]
1,[ 0.46799618  0.53200388]
0,[ 0.52027994  0.47972   ]
1,[ 0.48737854  0.51262146]
1,[ 0.48264927  0.51735073]
0,[ 0.50178355  0.49821645]
1,[ 0.48686668  0.51313329]
1,[ 0.48749444  0.51250559]
1,[ 0.47519544  0.52480453]
1,[ 0.47684506  0.52315491]
1,[ 0.47499791  0.52500206]
1,[ 0.47601187  0.52398813]
0,[ 0.50129431  0.49870571]
1,[ 0.49280912  0.50719088]
1,[ 0.48521692  0.51478308]
1,[ 0.49256152  0.50743848]
0,[ 0.5105539   0.48944613]
1,[ 0.47525814  0.52474189]
1,[ 0.49255159  0.50744843]
1,[ 0.48059633  0.51940364]
0,[ 0.50752556  0.49247447]
1,[ 0.48087153  0.51912844]
1,[ 0.4884842   0.51151586]
1,[ 0.48418152  0.51581848]
1,[ 0.48466811  0.51533192]
1,[ 0.49260873  0.50739121]
0,[ 0.50052869  0.49947131]
1,[ 0.48517671  0.51482332]
1,[ 0.47844791  0.52155209]
0,[ 0.50532329  0.49467668]
1,[ 0.48456526  0.51543474]
1,[ 0.47982278  0.52017725]
1,[ 0.47738421  0.52261579]
1,[ 0.4810828  0.5189172]
0,[ 0.51203245  0.48796755]
1,[ 0.48743945  0.51256055]
0,[ 0.504776    0.49522403]
0,[ 0.51727092  0.48272914]
1,[ 0.4925904   0.50740957]
1,[ 0.47863993  0.52136004]
1,[ 0.48473209  0.51526791]
1,[ 0.48671699  0.51328301]
1,[ 0.49307361  0.50692642]
1,[ 0.48567042  0.51432961]
1,[ 0.48702863  0.51297134]
1,[ 0.4868674   0.51313257]
1,[ 0.48634741  0.51365262]
1,[ 0.49595094  0.50404912]
0,[ 0.502428  0.497572]
1,[ 0.47898549  0.52101451]
1,[ 0.49284384  0.50715613]
1,[ 0.48974743  0.51025259]
1,[ 0.49315381  0.50684613]
0,[ 0.5177682   0.48223177]
1,[ 0.47454277  0.52545726]
1,[ 0.48371771  0.51628232]
1,[ 0.4745442   0.52545583]
1,[ 0.48552942  0.51447058]
1,[ 0.48652825  0.51347178]
1,[ 0.48621798  0.51378202]
1,[ 0.49914461  0.50085545]
1,[ 0.49080032  0.50919968]
0,[ 0.50562352  0.49437642]
1,[ 0.49940473  0.50059527]
1,[ 0.47649172  0.52350825]
0,[ 0.51154214  0.48845786]
1,[ 0.48812819  0.51187187]
1,[ 0.48795864  0.51204133]
1,[ 0.4963848   0.50361514]
1,[ 0.49277613  0.5072239 ]
1,[ 0.48731667  0.51268333]
0,[ 0.51706976  0.48293027]
0,[ 0.50627446  0.49372554]
1,[ 0.48613149  0.51386851]
1,[ 0.49958202  0.50041795]
0,[ 0.51467282  0.48532718]
1,[ 0.49330577  0.50669426]
1,[ 0.48937905  0.51062095]
1,[ 0.47695336  0.52304667]
1,[ 0.48574421  0.51425582]
1,[ 0.48767948  0.51232052]
1,[ 0.47765848  0.52234149]
1,[ 0.49060887  0.50939113]
1,[ 0.49021757  0.50978243]
1,[ 0.4827759   0.51722413]
1,[ 0.49313116  0.50686884]
1,[ 0.4894591  0.5105409]
1,[ 0.488938    0.51106203]
1,[ 0.49634784  0.50365216]
0,[ 0.50246853  0.49753147]
1,[ 0.49976644  0.50023353]
1,[ 0.49019185  0.50980812]
0,[ 0.50489676  0.49510321]
0,[ 0.51512957  0.48487046]
1,[ 0.49423236  0.50576764]
1,[ 0.48199657  0.5180034 ]
1,[ 0.48899078  0.51100922]
1,[ 0.48739311  0.51260686]
0,[ 0.50611722  0.49388275]
1,[ 0.4848865   0.51511353]
1,[ 0.49188694  0.50811303]
1,[ 0.49334595  0.50665408]
1,[ 0.48007807  0.5199219 ]
1,[ 0.47980931  0.52019066]
0,[ 0.50644869  0.49355137]
1,[ 0.49627364  0.5037263 ]
1,[ 0.46940848  0.53059155]
0,[ 0.5103929  0.4896071]
1,[ 0.48365599  0.51634401]
0,[ 0.50706369  0.49293634]
1,[ 0.48022899  0.51977098]
1,[ 0.48117796  0.51882207]
1,[ 0.48801669  0.51198334]
1,[ 0.48149982  0.51850015]
0,[ 0.50856572  0.49143428]
0,[ 0.50124317  0.49875683]
1,[ 0.49309316  0.50690687]
0,[ 0.51279384  0.4872061 ]
0,[ 0.50399005  0.49600992]
1,[ 0.48027322  0.51972681]
1,[ 0.48204431  0.51795566]
1,[ 0.47569343  0.52430654]
1,[ 0.47931656  0.52068347]
1,[ 0.49941516  0.50058478]
1,[ 0.49658477  0.50341523]
0,[ 0.5034101  0.4965899]
1,[ 0.49038616  0.50961381]
1,[ 0.49671522  0.50328481]
1,[ 0.49425992  0.50574011]
1,[ 0.48063734  0.51936263]
0,[ 0.50502682  0.49497312]
1,[ 0.49512467  0.5048753 ]
1,[ 0.48387676  0.51612324]
1,[ 0.48831722  0.51168281]
1,[ 0.48352912  0.51647091]
1,[ 0.47821388  0.52178615]
1,[ 0.4874554   0.51254457]
1,[ 0.49097434  0.50902563]
1,[ 0.49897942  0.50102061]
1,[ 0.49268875  0.50731128]
1,[ 0.48827133  0.5117287 ]
1,[ 0.47614965  0.52385032]
1,[ 0.49857029  0.50142968]
0,[ 0.50606626  0.49393374]
1,[ 0.48546997  0.51453006]
0,[ 0.51773161  0.48226839]
1,[ 0.48947489  0.51052511]
1,[ 0.47858244  0.52141762]
1,[ 0.49810773  0.50189233]
0,[ 0.50592148  0.49407855]
1,[ 0.49892998  0.50106996]
1,[ 0.48157579  0.51842415]
0,[ 0.50305337  0.4969466 ]
1,[ 0.48185745  0.51814252]
1,[ 0.48925167  0.51074833]
1,[ 0.49848318  0.50151682]
0,[ 0.52147549  0.47852448]
1,[ 0.48743427  0.51256573]
1,[ 0.48615155  0.51384848]
1,[ 0.49955165  0.50044835]
1,[ 0.49269384  0.5073061 ]
1,[ 0.47675511  0.52324486]
1,[ 0.49128711  0.50871295]
0,[ 0.50001889  0.49998108]
1,[ 0.4877494  0.5122506]
0,[ 0.50054538  0.49945459]
0,[ 0.5111146   0.48888537]
0,[ 0.51515418  0.48484585]
1,[ 0.4776426  0.5223574]
1,[ 0.49925372  0.50074631]
0,[ 0.5158475  0.4841525]
1,[ 0.47540954  0.52459043]
1,[ 0.48124701  0.51875299]
0,[ 0.51771855  0.48228148]
0,[ 0.51221359  0.48778638]
1,[ 0.48457882  0.51542121]
1,[ 0.49720296  0.50279707]
1,[ 0.49012667  0.50987333]
1,[ 0.48860216  0.51139784]
1,[ 0.47569317  0.52430683]
0,[ 0.50729549  0.49270454]
1,[ 0.48517209  0.51482791]
1,[ 0.47158372  0.52841628]
1,[ 0.48337162  0.51662838]
0,[ 0.50519389  0.49480608]
1,[ 0.4921591   0.50784087]
1,[ 0.49364138  0.50635868]
1,[ 0.48405826  0.51594174]
0,[ 0.500898    0.49910197]
0,[ 0.50041932  0.49958065]
1,[ 0.48322445  0.51677549]
0,[ 0.51325482  0.48674521]
1,[ 0.4758195   0.52418047]
1,[ 0.4857792   0.51422083]
0,[ 0.5137037   0.48629633]
0,[ 0.51409256  0.48590747]
1,[ 0.47836688  0.52163309]
1,[ 0.48676363  0.5132364 ]
1,[ 0.49564904  0.50435096]
1,[ 0.48068398  0.51931602]
0,[ 0.50137663  0.49862337]
1,[ 0.47598687  0.5240131 ]
0,[ 0.50002962  0.49997038]
0,[ 0.5058322   0.49416783]
0,[ 0.50835711  0.49164286]
1,[ 0.48704877  0.5129512 ]
1,[ 0.49018013  0.50981987]
0,[ 0.50873667  0.49126336]
1,[ 0.48638716  0.51361287]
1,[ 0.49164811  0.50835192]
1,[ 0.49737743  0.5026226 ]
1,[ 0.49539861  0.50460136]
1,[ 0.47900605  0.52099395]
1,[ 0.48254859  0.51745135]
1,[ 0.48613912  0.51386088]
1,[ 0.48705614  0.51294386]
1,[ 0.47955734  0.52044266]
1,[ 0.49148637  0.50851363]
1,[ 0.49555641  0.50444359]
1,[ 0.49326366  0.50673634]
1,[ 0.47845176  0.52154827]
0,[ 0.51474988  0.48525012]
1,[ 0.48398486  0.51601517]
0,[ 0.50453168  0.49546832]
1,[ 0.47641286  0.52358717]
0,[ 0.50662148  0.49337849]
1,[ 0.48973629  0.51026374]
1,[ 0.48977274  0.51022726]
1,[ 0.47649255  0.52350748]
1,[ 0.4860296   0.51397038]
1,[ 0.49313197  0.506868  ]
1,[ 0.48005018  0.51994985]
1,[ 0.4832682   0.51673174]
1,[ 0.4827846   0.51721543]
1,[ 0.48827133  0.5117287 ]
0,[ 0.50348896  0.49651104]
1,[ 0.4764446  0.5235554]
1,[ 0.49463966  0.50536031]
1,[ 0.4740493   0.52595067]
1,[ 0.48954633  0.5104537 ]
0,[ 0.50719512  0.49280488]
0,[ 0.50742203  0.49257797]
0,[ 0.50223011  0.49776992]
1,[ 0.46972111  0.53027892]
1,[ 0.48661929  0.51338071]
1,[ 0.47189242  0.52810752]
1,[ 0.48711941  0.51288056]
0,[ 0.50944954  0.49055046]
0,[ 0.5041734   0.49582663]
0,[ 0.50030911  0.49969092]
1,[ 0.48630077  0.51369923]
0,[ 0.50808322  0.49191678]
1,[ 0.47951743  0.52048254]
1,[ 0.49038655  0.50961345]
1,[ 0.48685524  0.51314479]
0,[ 0.51549828  0.48450166]
1,[ 0.48588994  0.51411009]
0,[ 0.50041258  0.49958742]
1,[ 0.49486959  0.50513041]
0,[ 0.50680351  0.49319643]
1,[ 0.49038574  0.50961429]
0,[ 0.50309134  0.49690872]
0,[ 0.50095272  0.49904722]
1,[ 0.48838755  0.51161247]
0,[ 0.50423968  0.49576032]
1,[ 0.47484416  0.5251559 ]
1,[ 0.48970133  0.51029867]
1,[ 0.49876052  0.50123942]
1,[ 0.4948377  0.5051623]
1,[ 0.49672195  0.50327808]
0,[ 0.50960124  0.49039879]
1,[ 0.49823561  0.50176442]
1,[ 0.47546822  0.52453178]
1,[ 0.49703529  0.50296474]
1,[ 0.49517056  0.50482947]
1,[ 0.48234212  0.51765788]
1,[ 0.47705293  0.52294701]
1,[ 0.47502142  0.52497858]
1,[ 0.48531172  0.51468831]
1,[ 0.4748565  0.5251435]
1,[ 0.48822129  0.51177871]
0,[ 0.50461876  0.49538121]
1,[ 0.48795328  0.51204669]
1,[ 0.49996528  0.50003475]
1,[ 0.49070016  0.50929987]
0,[ 0.50141203  0.498588  ]
1,[ 0.48205337  0.5179466 ]
1,[ 0.49878344  0.50121659]
1,[ 0.48777017  0.5122298 ]
1,[ 0.48530722  0.51469278]
1,[ 0.4949995   0.50500053]
1,[ 0.47865781  0.52134222]
1,[ 0.48847017  0.5115298 ]
1,[ 0.48612562  0.51387441]
1,[ 0.49962956  0.50037044]
1,[ 0.47806311  0.52193695]
0,[ 0.50263661  0.49736342]
1,[ 0.49547061  0.50452942]
